Rank,ELO_Score,Last_Updated,Link,Cost,Square Foot (Guess),Niceness,Bedrooms,Bathrooms,Addy,Dist Sparsh,Dist Rishabh,Dist Sena,MAX Distance,Start Date,Other
1,1157.09,2025-07-08 21:34:00,https://www.apartments.com/the-dryden-east-new-york-ny/8ms8fn3/,6800,1225,9.0,3,2.0,"150 E 39th St, New York, NY 10016",12,13,14,14,,
2,1131.14,2025-07-08 21:34:00,https://www.apartments.com/325-e-58th-st-new-york-ny/x9tgp3q/,7995,1000,7.5,3,3.0,"325 E 58th St ,
New York, NY 10022",2,20,13,20,,
3,1115.42,2025-07-08 21:34:00,https://www.apartments.com/1435-2nd-ave-new-york-ny-unit-id1021955p/em2h8hq/,7380,1194,8.0,3,2.0,"1435 2nd Ave, New York, NY 10021, USA",7,20,18,20,08/17/25,
4,1084.77,2025-07-08 21:34:00,https://www.apartments.com/142-e-35th-st-new-york-ny/llmlf2g/,6800,1120,8.0,3,2.0,"142 E 35th St,
New York, NY 10016",16,13,18,18,,
5,1067.58,2025-07-08 21:34:00,https://www.apartments.com/418-w-51st-st-new-york-ny/1nmfem5/,6595,1113,8.0,3,2.0,"418 W 51st St,
New York, NY 10019",17,24,10,24,,
6,1045.43,2025-07-08 21:34:00,https://www.apartments.com/143-e-57th-st-new-york-ny-unit-ph1/qqn3c2x/,7995,800,5.5,3,2.5,"143 E 57th St Unit PH1,
New York, NY 10022",7,16,11,16,,
7,1040.04,2025-07-08 21:34:00,https://www.apartments.com/the-ambassador-east-new-york-ny/8kng3x1/,6800,1100,6.0,3,2.0,"330 E 46th St, New York, NY 10017",10,21,11,21,,
8,1033.24,2025-07-08 21:34:00,https://www.apartments.com/205-east-31st-street-new-york-ny/6kwm4tv/,7000,1000,7.0,3,2.0,"205 E 31st St, New York, NY 10016
",15,11,19,19,,
9,1020.67,2025-07-08 21:34:00,https://www.apartments.com/east-60-street-new-york-ny-unit-5th-fl/t13m9r9/,6800,700,4.0,3,2.0,"116 E 60th St Unit 5TH FL,
New York, NY 10022",8,12,8,12,,
10,1019.22,2025-07-08 21:34:00,https://www.apartments.com/202-e-22nd-st-new-york-ny/4mjqyrl/,7755,1240,9.0,3,2.0,"202 E 22nd St ,
New York, NY 10010",19,13,19,19,,
11,1007.94,2025-07-08 21:34:00,https://www.apartments.com/400-e-53rd-st-new-york-ny-unit-3a-3b/g9kwmkz/,7000,750,6.0,3,2.0,"400 E 53rd St Unit 3A/3B,
New York, NY 10022",14,14,4,14,,
12,996.09,2025-07-08 21:34:00,https://www.apartments.com/2-maiden-ln-new-york-ny-unit-3803/ej88k4n/,5925,700,4.5,3,2.0,"2 Maiden Ln Unit 3803,
New York, NY 10038",25,22,8,25,,
13,993.22,2025-07-08 21:34:00,https://www.apartments.com/sven-long-island-city-ny/2l02rk8/,7000,750,9.0,3,2.0,"2959 Northern Blvd, Long Island City, NY 11101",15,24,13,24,Now,
14,985.77,2025-07-08 21:34:00,https://www.apartments.com/the-towne-house-new-york-ny/7y0ln4x/,7000,1000,6.0,3,2.0,"106-114 E 38th St, New York, NY 10016",15,13,16,16,Now,
15,985.73,2025-07-08 21:34:00,https://www.apartments.com/42-83-83-hunter-st-queens-ny-unit-ph/c7x8xfg/#c7x8xfg-0-photos,7850,1350,8.5,3,2.5,"42-83-83 Hunter St Unit PH, Queens, NY 11101",16,17,15,17,08/01/25,FIGHT HALLWAY - nice because size but lowk looks sus 
16,968.82,2025-07-08 21:34:00,https://www.apartments.com/the-italic-apartments-queens-ny/37rkftf/,7136,900,9.0,3,2.0,"26-38 Jackson Ave, Queens, NY 11101",20,27,20,27,,
17,967.17,2025-07-08 21:34:00,https://www.apartments.com/315-w-48th-st-new-york-ny/nn9c89m/,7000,1100,6.5,3,2.0,"315 W 48th St ,
New York, NY 10036",20,20,9,20,,
18,965.32,2025-07-08 21:34:00,https://www.apartments.com/443-w-43rd-st-new-york-ny/jfflmp5/,6795,1024,8.0,3,2.0,"443 W 43rd St ,
New York, NY 10036",25,23,17,25,,
19,952.51,2025-07-08 21:34:00,https://www.apartments.com/451-w-37th-st-new-york-ny-unit-2103/3rggexg/,6350,750,6.5,3,2.0,"451 W 37th St Unit 2103,
New York, NY 10018",27,16,18,27,,
20,949.98,2025-07-08 21:34:00,https://www.apartments.com/201-e-25th-st-new-york-ny-unit-12d/z1rxyxy/,7500,900,7.0,3,2.0,"201 E 25th St Unit 12d,
New York, NY 10010",18,12,20,20,,
21,935.46,2025-07-08 21:34:00,https://www.apartments.com/460-w-42nd-st-new-york-ny-unit-20b/705zqzx/,6700,800,6.5,3,2.0,"460 W 42nd St Unit 20B,
New York, NY 10036",23,16,20,23,,
22,933.48,2025-07-08 21:34:00,https://www.apartments.com/529-e-6th-st-new-york-ny-unit-2d-3d/qe72ewx/,6495,700,6.0,3,2.0,"529 E 6th St Unit 2D/3D,
New York, NY 10009",24,24,24,24,,
23,925.58,2025-07-08 21:34:00,https://www.apartments.com/524-9th-ave-new-york-ny/w95tr7l/,7000,1100,7.5,3,2.0,"524 9th Ave ,
New York, NY 10018",25,18,13,25,,
24,875.53,2025-07-08 21:34:00,https://www.apartments.com/4-74-74-48th-ave-queens-ny-unit-ph4/hwy6jp2/,6100,850,7.5,3,2.0,"4-74-74 48th Ave Unit PH4,
Queens, NY 11109",28,26,20,28,,
25,842.79,2025-07-08 21:34:00,https://www.apartments.com/embassy-house-new-york-ny/02b5v52/,7000,1000,8.0,3,1.5,"301 E 47th St, New York, NY 10017",15,20,14,20,07/15/25,
